job_id,professional_id,job_date,service,customer_paid,uc_fee,professional_payout
UC202505W002J12,W002,2025-05-01,Salon at Home,1864,466,1398
UC202505W002J13,W002,2025-05-12,Salon at Home,1702,425,1277
UC202505W002J14,W002,2025-05-25,Salon at Home,1608,402,1206
UC202505W002J15,W002,2025-05-08,Salon at Home,1690,422,1268
UC202505W002J16,W002,2025-05-20,Spa,1666,416,1250
UC202505W002J17,W002,2025-05-05,Salon at Home,1830,457,1373
UC202505W002J18,W002,2025-05-19,Bridal,1699,424,1275
UC202505W002J19,W002,2025-05-23,Hair Treatment,1719,429,1290
UC202505W002J20,W002,2025-05-06,Spa,1646,411,1235
UC202505W002J21,W002,2025-05-10,Salon at Home,1643,410,1233
UC202505W002J22,W002,2025-05-10,Bridal,1882,470,1412
UC202505W002J23,W002,2025-05-13,Salon at Home,1689,422,1267
UC202505W002J24,W002,2025-05-19,Salon at Home,1712,428,1284
UC202505W002J25,W002,2025-05-23,Salon at Home,1742,435,1307
UC202505W002J26,W002,2025-05-26,Salon at Home,1877,469,1408
UC202505W002J27,W002,2025-05-12,Bridal,1860,465,1395
UC202505W002J28,W002,2025-05-22,Salon at Home,1777,444,1333
UC202505W002J29,W002,2025-05-17,Salon at Home,1762,440,1322
UC202505W002J30,W002,2025-05-28,Bridal,1803,450,1353
UC202505W002J31,W002,2025-05-04,Hair Treatment,1809,452,1357
UC202506W002J00,W002,2025-06-23,Bridal,1521,380,1141
UC202506W002J01,W002,2025-06-06,Hair Treatment,1710,427,1283
UC202506W002J02,W002,2025-06-20,Bridal,1718,429,1289
UC202506W002J03,W002,2025-06-15,Hair Treatment,1666,416,1250
UC202506W002J04,W002,2025-06-11,Salon at Home,1568,392,1176
UC202506W002J05,W002,2025-06-09,Spa,1673,418,1255
UC202506W002J06,W002,2025-06-25,Bridal,1680,420,1260
UC202506W002J07,W002,2025-06-11,Bridal,1457,364,1093
UC202506W002J08,W002,2025-06-28,Spa,1609,402,1207
UC202506W002J09,W002,2025-06-16,Hair Treatment,1551,387,1164
UC202506W002J10,W002,2025-06-26,Hair Treatment,1575,393,1182
UC202506W002J11,W002,2025-06-09,Salon at Home,1584,396,1188
UC202506W002J12,W002,2025-06-17,Salon at Home,1540,385,1155
UC202506W002J13,W002,2025-06-08,Bridal,1651,412,1239
UC202506W002J14,W002,2025-06-18,Bridal,1566,391,1175
UC202506W002J15,W002,2025-06-21,Bridal,1694,423,1271
UC202506W002J16,W002,2025-06-26,Salon at Home,1451,362,1089
UC202506W002J17,W002,2025-06-10,Bridal,1556,389,1167
UC202506W002J18,W002,2025-06-23,Hair Treatment,1567,391,1176
UC202506W002J19,W002,2025-06-22,Hair Treatment,1740,435,1305
UC202506W002J20,W002,2025-06-16,Hair Treatment,1726,431,1295
UC202506W002J21,W002,2025-06-14,Hair Treatment,1724,431,1293
UC202506W002J22,W002,2025-06-12,Hair Treatment,1675,418,1257
UC202506W002J23,W002,2025-06-10,Spa,1571,392,1179
UC202506W002J24,W002,2025-06-04,Hair Treatment,1541,385,1156
UC202506W002J25,W002,2025-06-04,Spa,1717,429,1288
UC202506W002J26,W002,2025-06-07,Bridal,1553,388,1165
UC202506W002J27,W002,2025-06-09,Hair Treatment,1711,427,1284
UC202506W002J28,W002,2025-06-04,Hair Treatment,1542,385,1157
UC202506W002J29,W002,2025-06-08,Spa,1627,406,1221
UC202506W002J30,W002,2025-06-10,Spa,1450,362,1088
UC202506W002J31,W002,2025-06-09,Salon at Home,1466,366,1100
UC202506W002J32,W002,2025-06-18,Spa,1592,398,1194
UC202506W002J33,W002,2025-06-21,Salon at Home,1694,423,1271
UC202506W002J34,W002,2025-06-28,Hair Treatment,1449,362,1087
UC202507W002J00,W002,2025-07-11,Salon at Home,1560,390,1170
UC202507W002J01,W002,2025-07-09,Salon at Home,1710,427,1283
UC202507W002J02,W002,2025-07-27,Bridal,1499,374,1125
UC202507W002J03,W002,2025-07-16,Salon at Home,1503,375,1128
UC202507W002J04,W002,2025-07-05,Hair Treatment,1542,385,1157
UC202507W002J05,W002,2025-07-03,Salon at Home,1593,398,1195
UC202507W002J06,W002,2025-07-18,Spa,1679,419,1260
UC202507W002J07,W002,2025-07-25,Bridal,1733,433,1300
UC202507W002J08,W002,2025-07-15,Hair Treatment,1692,423,1269
UC202507W002J09,W002,2025-07-28,Hair Treatment,1685,421,1264
UC202507W002J10,W002,2025-07-19,Salon at Home,1496,374,1122
UC202507W002J11,W002,2025-07-25,Spa,1572,393,1179
UC202507W002J12,W002,2025-07-09,Spa,1507,376,1131
UC202507W002J13,W002,2025-07-08,Salon at Home,1554,388,1166
UC202507W002J14,W002,2025-07-06,Bridal,1467,366,1101
UC202507W002J15,W002,2025-07-15,Hair Treatment,1706,426,1280
UC202507W002J16,W002,2025-07-02,Hair Treatment,1584,396,1188
UC202507W002J17,W002,2025-07-23,Bridal,1610,402,1208
UC202507W002J18,W002,2025-07-03,Hair Treatment,1585,396,1189
UC202507W002J19,W002,2025-07-26,Bridal,1567,391,1176
UC202507W002J20,W002,2025-07-04,Spa,1744,436,1308
UC202507W002J21,W002,2025-07-21,Hair Treatment,1542,385,1157
UC202507W002J22,W002,2025-07-27,Salon at Home,1538,384,1154
UC202507W002J23,W002,2025-07-02,Hair Treatment,1550,387,1163
UC202507W002J24,W002,2025-07-20,Hair Treatment,1757,439,1318
UC202507W002J25,W002,2025-07-15,Bridal,1529,382,1147
UC202507W002J26,W002,2025-07-23,Bridal,1621,405,1216
UC202507W002J27,W002,2025-07-09,Bridal,1722,430,1292
UC202507W002J28,W002,2025-07-15,Salon at Home,1507,376,1131
UC202507W002J29,W002,2025-07-14,Hair Treatment,1631,407,1224
UC202507W002J30,W002,2025-07-01,Spa,1512,378,1134
UC202507W002J31,W002,2025-07-22,Salon at Home,1760,440,1320
UC202507W002J32,W002,2025-07-25,Salon at Home,1603,400,1203
UC202507W002J33,W002,2025-07-25,Bridal,1555,388,1167
UC202507W002J34,W002,2025-07-17,Hair Treatment,1692,423,1269
UC202508W002J00,W002,2025-08-14,Salon at Home,1628,407,1221
UC202508W002J01,W002,2025-08-16,Bridal,1555,388,1167
UC202508W002J02,W002,2025-08-11,Salon at Home,1541,385,1156
UC202508W002J03,W002,2025-08-28,Hair Treatment,1459,364,1095
UC202508W002J04,W002,2025-08-14,Hair Treatment,1630,407,1223
UC202508W002J05,W002,2025-08-22,Salon at Home,1582,395,1187
UC202508W002J06,W002,2025-08-15,Hair Treatment,1422,355,1067
UC202508W002J07,W002,2025-08-09,Salon at Home,1542,385,1157
UC202508W002J08,W002,2025-08-25,Salon at Home,1583,395,1188
UC202508W002J09,W002,2025-08-22,Bridal,1654,413,1241
UC202508W002J10,W002,2025-08-14,Spa,1404,351,1053
UC202508W002J11,W002,2025-08-17,Bridal,1562,390,1172
UC202508W002J12,W002,2025-08-21,Salon at Home,1603,400,1203
UC202508W002J13,W002,2025-08-07,Spa,1513,378,1135
UC202508W002J14,W002,2025-08-10,Bridal,1601,400,1201
UC202508W002J15,W002,2025-08-04,Spa,1391,347,1044
UC202508W002J16,W002,2025-08-23,Hair Treatment,1458,364,1094
UC202508W002J17,W002,2025-08-18,Bridal,1384,346,1038
UC202508W002J18,W002,2025-08-03,Salon at Home,1492,373,1119
UC202508W002J19,W002,2025-08-15,Spa,1437,359,1078
UC202508W002J20,W002,2025-08-16,Hair Treatment,1526,381,1145
UC202508W002J21,W002,2025-08-14,Bridal,1624,406,1218
UC202508W002J22,W002,2025-08-08,Spa,1610,402,1208
UC202508W002J23,W002,2025-08-13,Spa,1474,368,1106
UC202508W002J24,W002,2025-08-28,Hair Treatment,1412,353,1059
UC202508W002J25,W002,2025-08-25,Hair Treatment,1589,397,1192
UC202508W002J26,W002,2025-08-26,Hair Treatment,1636,409,1227
UC202508W002J27,W002,2025-08-27,Hair Treatment,1378,344,1034
UC202508W002J28,W002,2025-08-24,Bridal,1529,382,1147
UC202508W002J29,W002,2025-08-28,Bridal,1453,363,1090
UC202508W002J30,W002,2025-08-18,Hair Treatment,1624,406,1218
UC202508W002J31,W002,2025-08-11,Bridal,1659,414,1245
UC202508W002J32,W002,2025-08-15,Spa,1541,385,1156
UC202508W002J33,W002,2025-08-23,Bridal,1499,374,1125
UC202508W002J34,W002,2025-08-08,Salon at Home,1587,396,1191
UC202508W002J35,W002,2025-08-11,Bridal,1619,404,1215
UC202508W002J36,W002,2025-08-13,Bridal,1454,363,1091
UC202509W002J00,W002,2025-09-17,Salon at Home,2353,588,1765
UC202509W002J01,W002,2025-09-28,Salon at Home,2409,602,1807
UC202509W002J02,W002,2025-09-17,Salon at Home,2417,604,1813
UC202509W002J03,W002,2025-09-24,Bridal,2257,564,1693
UC202509W002J04,W002,2025-09-28,Salon at Home,2263,565,1698
UC202509W002J05,W002,2025-09-16,Hair Treatment,2319,579,1740
UC202509W002J06,W002,2025-09-20,Salon at Home,2387,596,1791
UC202509W002J07,W002,2025-09-28,Bridal,2352,588,1764
UC202509W002J08,W002,2025-09-11,Salon at Home,2433,608,1825
UC202509W002J09,W002,2025-09-20,Spa,2219,554,1665
UC202509W002J10,W002,2025-09-21,Spa,2331,582,1749
UC202509W002J11,W002,2025-09-24,Bridal,2230,557,1673
UC202509W002J12,W002,2025-09-04,Bridal,2235,558,1677
UC202509W002J13,W002,2025-09-06,Salon at Home,2337,584,1753
UC202509W002J14,W002,2025-09-02,Salon at Home,2350,587,1763
UC202509W002J15,W002,2025-09-10,Hair Treatment,2367,591,1776
UC202509W002J16,W002,2025-09-14,Spa,2258,564,1694
UC202509W002J17,W002,2025-09-17,Spa,2394,598,1796
UC202509W002J18,W002,2025-09-06,Salon at Home,2273,568,1705
UC202509W002J19,W002,2025-09-20,Spa,2379,594,1785
UC202509W002J20,W002,2025-09-16,Spa,2482,620,1862
UC202509W002J21,W002,2025-09-08,Hair Treatment,2420,605,1815
UC202509W002J22,W002,2025-09-15,Salon at Home,2314,578,1736
UC202509W002J23,W002,2025-09-26,Hair Treatment,2422,605,1817
UC202509W002J24,W002,2025-09-22,Spa,2463,615,1848
UC202509W002J25,W002,2025-09-03,Hair Treatment,2410,602,1808
UC202509W002J26,W002,2025-09-19,Bridal,2337,584,1753
UC202509W002J27,W002,2025-09-23,Bridal,2312,578,1734
UC202509W002J28,W002,2025-09-28,Spa,2338,584,1754
UC202509W002J29,W002,2025-09-13,Salon at Home,2431,607,1824
UC202510W002J00,W002,2025-10-12,Hair Treatment,1936,484,1452
UC202510W002J01,W002,2025-10-23,Salon at Home,1793,448,1345
UC202510W002J02,W002,2025-10-27,Hair Treatment,1844,461,1383
UC202510W002J03,W002,2025-10-01,Salon at Home,1931,482,1449
UC202510W002J04,W002,2025-10-20,Hair Treatment,1896,474,1422
UC202510W002J05,W002,2025-10-25,Hair Treatment,1759,439,1320
UC202510W002J06,W002,2025-10-08,Hair Treatment,1739,434,1305
UC202510W002J07,W002,2025-10-22,Salon at Home,1712,428,1284
UC202510W002J08,W002,2025-10-21,Hair Treatment,1662,415,1247
UC202510W002J09,W002,2025-10-26,Salon at Home,1867,466,1401
UC202510W002J10,W002,2025-10-19,Spa,1828,457,1371
UC202510W002J11,W002,2025-10-03,Hair Treatment,1793,448,1345
UC202510W002J12,W002,2025-10-24,Spa,1854,463,1391
UC202510W002J13,W002,2025-10-07,Hair Treatment,1709,427,1282
UC202510W002J14,W002,2025-10-17,Hair Treatment,1898,474,1424
UC202510W002J15,W002,2025-10-27,Hair Treatment,1726,431,1295
UC202510W002J16,W002,2025-10-27,Hair Treatment,1888,472,1416
UC202510W002J17,W002,2025-10-24,Salon at Home,1815,453,1362
UC202510W002J18,W002,2025-10-15,Spa,1680,420,1260
UC202510W002J19,W002,2025-10-25,Bridal,1757,439,1318
UC202510W002J20,W002,2025-10-28,Hair Treatment,1927,481,1446
UC202510W002J21,W002,2025-10-03,Salon at Home,1844,461,1383
UC202510W002J22,W002,2025-10-09,Salon at Home,1916,479,1437
UC202510W002J23,W002,2025-10-15,Hair Treatment,1830,457,1373
UC202510W002J24,W002,2025-10-19,Hair Treatment,1837,459,1378
UC202510W002J25,W002,2025-10-04,Bridal,1761,440,1321
UC202510W002J26,W002,2025-10-01,Hair Treatment,1929,482,1447
UC202510W002J27,W002,2025-10-20,Salon at Home,1755,438,1317
UC202510W002J28,W002,2025-10-21,Hair Treatment,1879,469,1410
UC202510W002J29,W002,2025-10-21,Salon at Home,1851,462,1389
UC202510W002J30,W002,2025-10-05,Salon at Home,1665,416,1249
UC202510W002J31,W002,2025-10-10,Salon at Home,1894,473,1421
UC202510W002J32,W002,2025-10-04,Spa,1762,440,1322
UC202510W002J33,W002,2025-10-13,Hair Treatment,1874,468,1406
UC202510W002J34,W002,2025-10-22,Bridal,1918,479,1439
UC202510W002J35,W002,2025-10-19,Bridal,1721,430,1291
UC202510W002J36,W002,2025-10-21,Bridal,1692,423,1269
UC202511W002J00,W002,2025-11-02,Spa,2389,597,1792
UC202511W002J01,W002,2025-11-15,Spa,2427,606,1821
UC202511W002J02,W002,2025-11-28,Salon at Home,2385,596,1789
UC202511W002J03,W002,2025-11-22,Hair Treatment,2388,597,1791
UC202511W002J04,W002,2025-11-02,Hair Treatment,2403,600,1803
UC202511W002J05,W002,2025-11-07,Bridal,2262,565,1697
UC202511W002J06,W002,2025-11-03,Salon at Home,2308,577,1731
UC202511W002J07,W002,2025-11-02,Spa,2370,592,1778
UC202511W002J08,W002,2025-11-05,Spa,2489,622,1867
UC202511W002J09,W002,2025-11-03,Spa,2483,620,1863
UC202511W002J10,W002,2025-11-19,Spa,2310,577,1733
UC202511W002J11,W002,2025-11-11,Salon at Home,2275,568,1707
UC202511W002J12,W002,2025-11-09,Spa,2274,568,1706
UC202511W002J13,W002,2025-11-18,Spa,2328,582,1746
UC202511W002J14,W002,2025-11-04,Spa,2213,553,1660
UC202511W002J15,W002,2025-11-01,Spa,2383,595,1788
UC202511W002J16,W002,2025-11-19,Salon at Home,2365,591,1774
UC202511W002J17,W002,2025-11-06,Salon at Home,2335,583,1752
UC202511W002J18,W002,2025-11-05,Salon at Home,2415,603,1812
UC202511W002J19,W002,2025-11-24,Bridal,2232,558,1674
UC202511W002J20,W002,2025-11-15,Salon at Home,2385,596,1789
UC202511W002J21,W002,2025-11-15,Spa,2457,614,1843
UC202511W002J22,W002,2025-11-20,Hair Treatment,2222,555,1667
UC202511W002J23,W002,2025-11-15,Salon at Home,2215,553,1662
UC202511W002J24,W002,2025-11-16,Bridal,2405,601,1804
UC202511W002J25,W002,2025-11-22,Bridal,2255,563,1692
UC202511W002J26,W002,2025-11-23,Salon at Home,2427,606,1821
UC202511W002J27,W002,2025-11-03,Spa,2364,591,1773
UC202511W002J28,W002,2025-11-03,Hair Treatment,2264,566,1698
UC202511W002J29,W002,2025-11-20,Hair Treatment,2499,624,1875
UC202511W002J30,W002,2025-11-13,Hair Treatment,2471,617,1854
UC202511W002J31,W002,2025-11-15,Bridal,2458,614,1844
UC202512W002J00,W002,2025-12-28,Spa,2282,570,1712
UC202512W002J01,W002,2025-12-14,Spa,2231,557,1674
UC202512W002J02,W002,2025-12-14,Bridal,2173,543,1630
UC202512W002J03,W002,2025-12-13,Salon at Home,2212,553,1659
UC202512W002J04,W002,2025-12-11,Hair Treatment,2218,554,1664
UC202512W002J05,W002,2025-12-22,Hair Treatment,2130,532,1598
UC202512W002J06,W002,2025-12-05,Salon at Home,2242,560,1682
UC202512W002J07,W002,2025-12-03,Salon at Home,2043,510,1533
UC202512W002J08,W002,2025-12-14,Hair Treatment,2049,512,1537
UC202512W002J09,W002,2025-12-26,Salon at Home,2066,516,1550
UC202512W002J10,W002,2025-12-19,Hair Treatment,2287,571,1716
UC202512W002J11,W002,2025-12-22,Bridal,2062,515,1547
UC202512W002J12,W002,2025-12-12,Salon at Home,2216,554,1662
UC202512W002J13,W002,2025-12-10,Hair Treatment,2159,539,1620
UC202512W002J14,W002,2025-12-04,Spa,2295,573,1722
UC202512W002J15,W002,2025-12-05,Spa,2246,561,1685
UC202512W002J16,W002,2025-12-28,Hair Treatment,2055,513,1542
UC202512W002J17,W002,2025-12-28,Hair Treatment,2284,571,1713
UC202512W002J18,W002,2025-12-04,Spa,2142,535,1607
UC202512W002J19,W002,2025-12-26,Salon at Home,2219,554,1665
UC202512W002J20,W002,2025-12-20,Salon at Home,2136,534,1602
UC202512W002J21,W002,2025-12-06,Hair Treatment,2139,534,1605
UC202512W002J22,W002,2025-12-11,Salon at Home,2179,544,1635
UC202512W002J23,W002,2025-12-06,Bridal,2073,518,1555
UC202512W002J24,W002,2025-12-03,Salon at Home,2072,518,1554
UC202512W002J25,W002,2025-12-03,Spa,2271,567,1704
UC202512W002J26,W002,2025-12-13,Bridal,2214,553,1661
UC202512W002J27,W002,2025-12-11,Hair Treatment,2080,520,1560
UC202512W002J28,W002,2025-12-10,Salon at Home,2166,541,1625
UC202601W002J00,W002,2026-01-06,Salon at Home,1884,471,1413
UC202601W002J01,W002,2026-01-09,Bridal,2085,521,1564
UC202601W002J02,W002,2026-01-16,Bridal,2085,521,1564
UC202601W002J03,W002,2026-01-09,Salon at Home,1969,492,1477
UC202601W002J04,W002,2026-01-12,Salon at Home,2079,519,1560
UC202601W002J05,W002,2026-01-10,Hair Treatment,2108,527,1581
UC202601W002J06,W002,2026-01-02,Bridal,1971,492,1479
UC202601W002J07,W002,2026-01-20,Salon at Home,1887,471,1416
UC202601W002J08,W002,2026-01-07,Spa,2013,503,1510
UC202601W002J09,W002,2026-01-25,Hair Treatment,1929,482,1447
UC202601W002J10,W002,2026-01-10,Salon at Home,2026,506,1520
UC202601W002J11,W002,2026-01-01,Bridal,2113,528,1585
UC202601W002J12,W002,2026-01-06,Bridal,1925,481,1444
UC202601W002J13,W002,2026-01-18,Hair Treatment,1976,494,1482
UC202601W002J14,W002,2026-01-03,Salon at Home,2062,515,1547
UC202601W002J15,W002,2026-01-14,Bridal,1868,467,1401
UC202601W002J16,W002,2026-01-03,Bridal,2019,504,1515
UC202601W002J17,W002,2026-01-19,Bridal,2066,516,1550
UC202601W002J18,W002,2026-01-10,Bridal,1917,479,1438
UC202601W002J19,W002,2026-01-01,Spa,2025,506,1519
UC202601W002J20,W002,2026-01-26,Hair Treatment,2094,523,1571
UC202601W002J21,W002,2026-01-03,Salon at Home,2082,520,1562
UC202601W002J22,W002,2026-01-08,Bridal,2082,520,1562
UC202601W002J23,W002,2026-01-17,Bridal,1899,474,1425
UC202601W002J24,W002,2026-01-28,Hair Treatment,2017,504,1513
UC202601W002J25,W002,2026-01-08,Spa,2029,507,1522
UC202601W002J26,W002,2026-01-03,Salon at Home,2120,530,1590
UC202601W002J27,W002,2026-01-17,Spa,2120,530,1590
UC202601W002J28,W002,2026-01-25,Hair Treatment,2037,509,1528
UC202601W002J29,W002,2026-01-24,Spa,1934,483,1451
UC202602W002J00,W002,2026-02-07,Spa,1549,387,1162
UC202602W002J01,W002,2026-02-25,Spa,1499,374,1125
UC202602W002J02,W002,2026-02-25,Bridal,1713,428,1285
UC202602W002J03,W002,2026-02-25,Bridal,1749,437,1312
UC202602W002J04,W002,2026-02-22,Hair Treatment,1750,437,1313
UC202602W002J05,W002,2026-02-28,Spa,1622,405,1217
UC202602W002J06,W002,2026-02-15,Bridal,1495,373,1122
UC202602W002J07,W002,2026-02-15,Hair Treatment,1616,404,1212
UC202602W002J08,W002,2026-02-19,Hair Treatment,1489,372,1117
UC202602W002J09,W002,2026-02-17,Hair Treatment,1498,374,1124
UC202602W002J10,W002,2026-02-15,Salon at Home,1692,423,1269
UC202602W002J11,W002,2026-02-02,Hair Treatment,1649,412,1237
UC202602W002J12,W002,2026-02-03,Bridal,1507,376,1131
UC202602W002J13,W002,2026-02-15,Salon at Home,1758,439,1319
UC202602W002J14,W002,2026-02-15,Spa,1753,438,1315
UC202602W002J15,W002,2026-02-11,Spa,1704,426,1278
UC202602W002J16,W002,2026-02-02,Salon at Home,1691,422,1269
UC202602W002J17,W002,2026-02-26,Salon at Home,1636,409,1227
UC202602W002J18,W002,2026-02-17,Salon at Home,1549,387,1162
UC202602W002J19,W002,2026-02-08,Bridal,1685,421,1264
UC202602W002J20,W002,2026-02-17,Spa,1728,432,1296
UC202602W002J21,W002,2026-02-12,Hair Treatment,1651,412,1239
UC202602W002J22,W002,2026-02-13,Hair Treatment,1670,417,1253
UC202602W002J23,W002,2026-02-22,Hair Treatment,1487,371,1116
UC202602W002J24,W002,2026-02-03,Salon at Home,1629,407,1222
UC202602W002J25,W002,2026-02-18,Hair Treatment,1658,414,1244
UC202602W002J26,W002,2026-02-09,Hair Treatment,1537,384,1153
UC202602W002J27,W002,2026-02-03,Spa,1759,439,1320
UC202602W002J28,W002,2026-02-12,Bridal,1619,404,1215
UC202602W002J29,W002,2026-02-05,Hair Treatment,1504,376,1128
UC202602W002J30,W002,2026-02-18,Hair Treatment,1653,413,1240
UC202602W002J31,W002,2026-02-27,Salon at Home,1526,381,1145
UC202603W002J00,W002,2026-03-17,Salon at Home,1861,465,1396
UC202603W002J01,W002,2026-03-12,Spa,1834,458,1376
UC202603W002J02,W002,2026-03-07,Bridal,1850,462,1388
UC202603W002J03,W002,2026-03-07,Spa,1791,447,1344
UC202603W002J04,W002,2026-03-05,Hair Treatment,1715,428,1287
UC202603W002J05,W002,2026-03-28,Salon at Home,1727,431,1296
UC202603W002J06,W002,2026-03-22,Spa,1848,462,1386
UC202603W002J07,W002,2026-03-20,Spa,1868,467,1401
UC202603W002J08,W002,2026-03-06,Spa,1768,442,1326
UC202603W002J09,W002,2026-03-24,Salon at Home,1900,475,1425
UC202603W002J10,W002,2026-03-14,Spa,1862,465,1397
UC202603W002J11,W002,2026-03-15,Bridal,1821,455,1366
UC202603W002J12,W002,2026-03-08,Spa,1949,487,1462
UC202603W002J13,W002,2026-03-10,Spa,1916,479,1437
UC202603W002J14,W002,2026-03-12,Bridal,1968,492,1476
UC202603W002J15,W002,2026-03-15,Bridal,1820,455,1365
UC202603W002J16,W002,2026-03-17,Bridal,1946,486,1460
UC202603W002J17,W002,2026-03-06,Spa,1778,444,1334
UC202603W002J18,W002,2026-03-28,Salon at Home,1804,451,1353
UC202603W002J19,W002,2026-03-21,Hair Treatment,1922,480,1442
UC202603W002J20,W002,2026-03-18,Salon at Home,1728,432,1296
UC202603W002J21,W002,2026-03-10,Spa,1718,429,1289
UC202603W002J22,W002,2026-03-09,Spa,1906,476,1430
UC202603W002J23,W002,2026-03-27,Salon at Home,1899,474,1425
UC202603W002J24,W002,2026-03-08,Hair Treatment,1906,476,1430
UC202603W002J25,W002,2026-03-01,Salon at Home,1888,472,1416
UC202603W002J26,W002,2026-03-13,Hair Treatment,1933,483,1450
UC202603W002J27,W002,2026-03-08,Salon at Home,1873,468,1405
UC202603W002J28,W002,2026-03-12,Salon at Home,1790,447,1343
UC202603W002J29,W002,2026-03-11,Hair Treatment,1726,431,1295
UC202603W002J30,W002,2026-03-26,Spa,1750,437,1313
UC202603W002J31,W002,2026-03-02,Bridal,1822,455,1367
UC202603W002J32,W002,2026-03-23,Bridal,1747,436,1311
UC202603W002J33,W002,2026-03-15,Salon at Home,1678,419,1259
